"","DateTime","IU.BBSR.00.BHZ.M"
"347",2010-01-12 21:57:40,-178198.75
"348",2010-01-12 21:57:50,101278.9425
"349",2010-01-12 21:58:00,111302.7125
"350",2010-01-12 21:58:10,48853.845
"351",2010-01-12 21:58:20,-107069.47
"352",2010-01-12 21:58:30,67328.2
"353",2010-01-12 21:58:40,99697.87
"354",2010-01-12 21:58:50,-20622.3425
"355",2010-01-12 21:59:00,-16299.3925
"356",2010-01-12 21:59:10,167039.425
"357",2010-01-12 21:59:20,-98628.9775
"358",2010-01-12 21:59:30,328025.7575
"359",2010-01-12 21:59:40,-319700.845
"360",2010-01-12 21:59:50,417210.605
"361",2010-01-12 22:00:00,1394227.47
"362",2010-01-12 22:00:10,-1426632.89
"363",2010-01-12 22:00:20,-1331719.92
"364",2010-01-12 22:00:30,-3063720.27
"365",2010-01-12 22:00:40,3031753.575
"366",2010-01-12 22:00:50,6634396.69
"367",2010-01-12 22:01:00,-5444494.6875
"368",2010-01-12 22:01:10,1975580.1575
"369",2010-01-12 22:01:20,-364728.6525
"370",2010-01-12 22:01:30,-927742.4825
"371",2010-01-12 22:01:40,660778.6375
"372",2010-01-12 22:01:50,-2232238.9675
"373",2010-01-12 22:02:00,1545653.6325
"374",2010-01-12 22:02:10,-1928923.885
"375",2010-01-12 22:02:20,2509681.705
"376",2010-01-12 22:02:30,-1201905.4025
"377",2010-01-12 22:02:40,1116314.1625
"378",2010-01-12 22:02:50,-933564.775
"379",2010-01-12 22:03:00,690334.71
"380",2010-01-12 22:03:10,724266.625
"381",2010-01-12 22:03:20,-1528135.33
"382",2010-01-12 22:03:30,1278933.4025
"383",2010-01-12 22:03:40,-1481964.21
"384",2010-01-12 22:03:50,729467.7975
"385",2010-01-12 22:04:00,1858382.11
"386",2010-01-12 22:04:10,-2713962.8875
"387",2010-01-12 22:04:20,2806294.8225
"388",2010-01-12 22:04:30,-2719634.3875
"389",2010-01-12 22:04:40,1936969.275
"390",2010-01-12 22:04:50,592197.46
"391",2010-01-12 22:05:00,-1941055.095
"392",2010-01-12 22:05:10,2179834.16
"393",2010-01-12 22:05:20,-1587706.8475
