"","DateTime","PR.PCDR..BHZ.M"
"292",2010-01-12 21:04:51,581.95
"293",2010-01-12 21:04:52,1058.8
"294",2010-01-12 21:04:53,413.95
"295",2010-01-12 21:04:54,-137.9
"296",2010-01-12 21:04:55,700.9
"297",2010-01-12 21:04:56,1043.35
"298",2010-01-12 21:04:57,615.5
"299",2010-01-12 21:04:58,583.2
"300",2010-01-12 21:04:59,386.55
"301",2010-01-12 21:05:00,1075.2
"302",2010-01-12 21:05:01,728
"303",2010-01-12 21:05:02,595.4
"304",2010-01-12 21:05:03,859.25
"305",2010-01-12 21:05:04,633.55
"306",2010-01-12 21:05:05,444.2
"307",2010-01-12 21:05:06,677.05
"308",2010-01-12 21:05:07,1181.3
"309",2010-01-12 21:05:08,639.2
"310",2010-01-12 21:05:09,18.2
"311",2010-01-12 21:05:10,548.1
"312",2010-01-12 21:05:11,1240.2
"313",2010-01-12 21:05:12,644.05
"314",2010-01-12 21:05:13,305.65
"315",2010-01-12 21:05:14,413.5
"316",2010-01-12 21:05:15,683.9
"317",2010-01-12 21:05:16,768
"318",2010-01-12 21:05:17,567.15
"319",2010-01-12 21:05:18,274.55
"320",2010-01-12 21:05:19,814.45
"321",2010-01-12 21:05:20,860.4
"322",2010-01-12 21:05:21,174.15
"323",2010-01-12 21:05:22,542.6
"324",2010-01-12 21:05:23,777.8
"325",2010-01-12 21:05:24,899.6
"326",2010-01-12 21:05:25,638.8
"327",2010-01-12 21:05:26,513.4
"328",2010-01-12 21:05:27,644
"329",2010-01-12 21:05:28,800.1
"330",2010-01-12 21:05:29,835.6
"331",2010-01-12 21:05:30,358.6
"332",2010-01-12 21:05:31,618.1
"333",2010-01-12 21:05:32,538.3
"334",2010-01-12 21:05:33,931.8
"335",2010-01-12 21:05:34,700.6
"336",2010-01-12 21:05:35,220.65
"337",2010-01-12 21:05:36,345
"338",2010-01-12 21:05:37,552.4
"339",2010-01-12 21:05:38,914.65
"340",2010-01-12 21:05:39,255.2
"341",2010-01-12 21:05:40,76.15
"342",2010-01-12 21:05:41,1290.4
"343",2010-01-12 21:05:42,216.75
"344",2010-01-12 21:05:43,415
"345",2010-01-12 21:05:44,612.55
"346",2010-01-12 21:05:45,522.25
"347",2010-01-12 21:05:46,644.3
"348",2010-01-12 21:05:47,325.1
"349",2010-01-12 21:05:48,922.1
"350",2010-01-12 21:05:49,595.7
"351",2010-01-12 21:05:50,112.7
"352",2010-01-12 21:05:51,728.1
"353",2010-01-12 21:05:52,503.8
"354",2010-01-12 21:05:53,571.85
"355",2010-01-12 21:05:54,649.3
"356",2010-01-12 21:05:55,759.15
"357",2010-01-12 21:05:56,338.6
"358",2010-01-12 21:05:57,512.35
"359",2010-01-12 21:05:58,792.3
"360",2010-01-12 21:05:59,883.2
"361",2010-01-12 21:06:00,791.3
"362",2010-01-12 21:06:01,49.2
"363",2010-01-12 21:06:02,640.55
"364",2010-01-12 21:06:03,1089.15
"365",2010-01-12 21:06:04,432.3
"366",2010-01-12 21:06:05,307.95
"367",2010-01-12 21:06:06,753.35
"368",2010-01-12 21:06:07,584
"369",2010-01-12 21:06:08,962.75
"370",2010-01-12 21:06:09,346.6
"371",2010-01-12 21:06:10,427.6
"372",2010-01-12 21:06:11,438.2
"373",2010-01-12 21:06:12,930.5
"374",2010-01-12 21:06:13,546.55
"375",2010-01-12 21:06:14,615.95
"376",2010-01-12 21:06:15,529.95
"377",2010-01-12 21:06:16,944.7
"378",2010-01-12 21:06:17,684.9
"379",2010-01-12 21:06:18,-128.8
"380",2010-01-12 21:06:19,1146.45
"381",2010-01-12 21:06:20,948.8
"382",2010-01-12 21:06:21,538.55
"383",2010-01-12 21:06:22,490.15
"384",2010-01-12 21:06:23,389.1
"385",2010-01-12 21:06:24,1191.35
"386",2010-01-12 21:06:25,469.9
"387",2010-01-12 21:06:26,452.45
"388",2010-01-12 21:06:27,712.95
"389",2010-01-12 21:06:28,656.3
"390",2010-01-12 21:06:29,532.5
"391",2010-01-12 21:06:30,764.85
"392",2010-01-12 21:06:31,631.05
"393",2010-01-12 21:06:32,318.15
"394",2010-01-12 21:06:33,746.35
"395",2010-01-12 21:06:34,310.95
"396",2010-01-12 21:06:35,594.05
"397",2010-01-12 21:06:36,766.35
"398",2010-01-12 21:06:37,420.8
"399",2010-01-12 21:06:38,315.3
"400",2010-01-12 21:06:39,872.5
"401",2010-01-12 21:06:40,62.5
"402",2010-01-12 21:06:41,717.55
"403",2010-01-12 21:06:42,728.1
"404",2010-01-12 21:06:43,890.25
"405",2010-01-12 21:06:44,-42.05
"406",2010-01-12 21:06:45,489.25
"407",2010-01-12 21:06:46,1027.9
"408",2010-01-12 21:06:47,906.35
"409",2010-01-12 21:06:48,409.15
"410",2010-01-12 21:06:49,240.85
"411",2010-01-12 21:06:50,758.85
"412",2010-01-12 21:06:51,919.5
"413",2010-01-12 21:06:52,562.65
"414",2010-01-12 21:06:53,482.55
"415",2010-01-12 21:06:54,774.35
"416",2010-01-12 21:06:55,565.4
"417",2010-01-12 21:06:56,783.35
"418",2010-01-12 21:06:57,490.45
"419",2010-01-12 21:06:58,581.15
"420",2010-01-12 21:06:59,808.4
"421",2010-01-12 21:07:00,337
"422",2010-01-12 21:07:01,796.65
"423",2010-01-12 21:07:02,438.2
"424",2010-01-12 21:07:03,479.85
"425",2010-01-12 21:07:04,479.45
"426",2010-01-12 21:07:05,837.95
"427",2010-01-12 21:07:06,438
"428",2010-01-12 21:07:07,319.65
"429",2010-01-12 21:07:08,576.9
"430",2010-01-12 21:07:09,707.05
"431",2010-01-12 21:07:10,756.95
"432",2010-01-12 21:07:11,410.6
"433",2010-01-12 21:07:12,492.2
"434",2010-01-12 21:07:13,430.2
"435",2010-01-12 21:07:14,1025.4
"436",2010-01-12 21:07:15,683.6
"437",2010-01-12 21:07:16,635.8
"438",2010-01-12 21:07:17,158.85
"439",2010-01-12 21:07:18,804.2
"440",2010-01-12 21:07:19,973.35
"441",2010-01-12 21:07:20,558.5
"442",2010-01-12 21:07:21,492.05
"443",2010-01-12 21:07:22,287.85
"444",2010-01-12 21:07:23,500.3
"445",2010-01-12 21:07:24,1223.85
"446",2010-01-12 21:07:25,604.85
"447",2010-01-12 21:07:26,143.65
"448",2010-01-12 21:07:27,827.65
"449",2010-01-12 21:07:28,595.1
"450",2010-01-12 21:07:29,623.45
"451",2010-01-12 21:07:30,707.3
"452",2010-01-12 21:07:31,529.75
"453",2010-01-12 21:07:32,398.5
"454",2010-01-12 21:07:33,685.4
"455",2010-01-12 21:07:34,823.9
"456",2010-01-12 21:07:35,415.55
"457",2010-01-12 21:07:36,510
"458",2010-01-12 21:07:37,437
"459",2010-01-12 21:07:38,791.5
"460",2010-01-12 21:07:39,832.25
"461",2010-01-12 21:07:40,578.9
"462",2010-01-12 21:07:41,219.75
"463",2010-01-12 21:07:42,742.65
"464",2010-01-12 21:07:43,626.05
"465",2010-01-12 21:07:44,1040.8
"466",2010-01-12 21:07:45,558.5
"467",2010-01-12 21:07:46,109.25
"468",2010-01-12 21:07:47,619.8
"469",2010-01-12 21:07:48,954.95
"470",2010-01-12 21:07:49,1066.35
"471",2010-01-12 21:07:50,-25.2
"472",2010-01-12 21:07:51,359.05
"473",2010-01-12 21:07:52,1143.05
"474",2010-01-12 21:07:53,373
"475",2010-01-12 21:07:54,799.5
"476",2010-01-12 21:07:55,318.15
"477",2010-01-12 21:07:56,704.95
"478",2010-01-12 21:07:57,588.2
"479",2010-01-12 21:07:58,463.55
"480",2010-01-12 21:07:59,1176.8
"481",2010-01-12 21:08:00,325.75
"482",2010-01-12 21:08:01,270.6
"483",2010-01-12 21:08:02,997.95
"484",2010-01-12 21:08:03,733.95
"485",2010-01-12 21:08:04,261.35
"486",2010-01-12 21:08:05,694.35
"487",2010-01-12 21:08:06,671.8
"488",2010-01-12 21:08:07,301.45
"489",2010-01-12 21:08:08,533.7
"490",2010-01-12 21:08:09,820.2
"491",2010-01-12 21:08:10,1049
"492",2010-01-12 21:08:11,130.3
"493",2010-01-12 21:08:12,198.95
"494",2010-01-12 21:08:13,702
"495",2010-01-12 21:08:14,1292.7
"496",2010-01-12 21:08:15,298.8
"497",2010-01-12 21:08:16,215
"498",2010-01-12 21:08:17,679.45
"499",2010-01-12 21:08:18,494.4
"500",2010-01-12 21:08:19,877.2
"501",2010-01-12 21:08:20,689.35
"502",2010-01-12 21:08:21,-52.25
"503",2010-01-12 21:08:22,668.65
"504",2010-01-12 21:08:23,1087.4
"505",2010-01-12 21:08:24,386.7
"506",2010-01-12 21:08:25,687.05
"507",2010-01-12 21:08:26,229.6
"508",2010-01-12 21:08:27,773.65
"509",2010-01-12 21:08:28,1305.3
"510",2010-01-12 21:08:29,143.15
"511",2010-01-12 21:08:30,573.2
"512",2010-01-12 21:08:31,698.45
"513",2010-01-12 21:08:32,750.1
"514",2010-01-12 21:08:33,573.1
"515",2010-01-12 21:08:34,589.8
"516",2010-01-12 21:08:35,435.95
"517",2010-01-12 21:08:36,396.05
"518",2010-01-12 21:08:37,947.6
"519",2010-01-12 21:08:38,964.65
"520",2010-01-12 21:08:39,-1.7
"521",2010-01-12 21:08:40,722.45
"522",2010-01-12 21:08:41,751.85
"523",2010-01-12 21:08:42,943.1
"524",2010-01-12 21:08:43,573.7
"525",2010-01-12 21:08:44,490
"526",2010-01-12 21:08:45,448.65
"527",2010-01-12 21:08:46,846.65
"528",2010-01-12 21:08:47,659.75
"529",2010-01-12 21:08:48,545.95
"530",2010-01-12 21:08:49,461.7
"531",2010-01-12 21:08:50,540.3
"532",2010-01-12 21:08:51,501.1
"533",2010-01-12 21:08:52,1029.35
"534",2010-01-12 21:08:53,351.9
"535",2010-01-12 21:08:54,202.45
"536",2010-01-12 21:08:55,369.75
"537",2010-01-12 21:08:56,1240.55
"538",2010-01-12 21:08:57,692.95
"539",2010-01-12 21:08:58,-54.7
"540",2010-01-12 21:08:59,648.7
"541",2010-01-12 21:09:00,827.15
"542",2010-01-12 21:09:01,926.5
"543",2010-01-12 21:09:02,241.35
"544",2010-01-12 21:09:03,179.9
"545",2010-01-12 21:09:04,1110.8
"546",2010-01-12 21:09:05,687.6
"547",2010-01-12 21:09:06,677.5
"548",2010-01-12 21:09:07,580.55
"549",2010-01-12 21:09:08,254
"550",2010-01-12 21:09:09,846.55
"551",2010-01-12 21:09:10,1129.65
"552",2010-01-12 21:09:11,-32.8
"553",2010-01-12 21:09:12,842.3
"554",2010-01-12 21:09:13,545.35
"555",2010-01-12 21:09:14,649.75
"556",2010-01-12 21:09:15,736.35
"557",2010-01-12 21:09:16,736.2
"558",2010-01-12 21:09:17,418.15
"559",2010-01-12 21:09:18,477.9
"560",2010-01-12 21:09:19,671.9
"561",2010-01-12 21:09:20,850.05
"562",2010-01-12 21:09:21,385.05
"563",2010-01-12 21:09:22,386.35
"564",2010-01-12 21:09:23,833.45
"565",2010-01-12 21:09:24,672.35
"566",2010-01-12 21:09:25,158.8
"567",2010-01-12 21:09:26,763.35
"568",2010-01-12 21:09:27,876.3
"569",2010-01-12 21:09:28,472.2
"570",2010-01-12 21:09:29,343.65
"571",2010-01-12 21:09:30,639.25
"572",2010-01-12 21:09:31,857.7
"573",2010-01-12 21:09:32,809.2
"574",2010-01-12 21:09:33,126.6
"575",2010-01-12 21:09:34,854.8
"576",2010-01-12 21:09:35,742.35
"577",2010-01-12 21:09:36,743.2
"578",2010-01-12 21:09:37,299.15
"579",2010-01-12 21:09:38,953.35
"580",2010-01-12 21:09:39,660.2
"581",2010-01-12 21:09:40,628.15
"582",2010-01-12 21:09:41,463.7
"583",2010-01-12 21:09:42,1049
"584",2010-01-12 21:09:43,384.65
"585",2010-01-12 21:09:44,403.9
"586",2010-01-12 21:09:45,1354.45
"587",2010-01-12 21:09:46,250.45
"588",2010-01-12 21:09:47,433.05
"589",2010-01-12 21:09:48,1094.75
"590",2010-01-12 21:09:49,679.75
"591",2010-01-12 21:09:50,506.9
"592",2010-01-12 21:09:51,597.9
"593",2010-01-12 21:09:52,802.1
"594",2010-01-12 21:09:53,214.5
"595",2010-01-12 21:09:54,890.6
"596",2010-01-12 21:09:55,567.7
"597",2010-01-12 21:09:56,179.55
"598",2010-01-12 21:09:57,856.5
"599",2010-01-12 21:09:58,705.25
"600",2010-01-12 21:09:59,549
"601",2010-01-12 21:10:00,352.8
"602",2010-01-12 21:10:01,549.35
"603",2010-01-12 21:10:02,565.95
"604",2010-01-12 21:10:03,540.45
"605",2010-01-12 21:10:04,641.789473684211
