"","DateTime","CU.GTBY..BHZ.M"
"359",2010-01-12 21:05:58,-822.525
"360",2010-01-12 21:05:59,-25.725
"361",2010-01-12 21:06:00,-897.175
"362",2010-01-12 21:06:01,-1079.525
"363",2010-01-12 21:06:02,995.85
"364",2010-01-12 21:06:03,-1239.1
"365",2010-01-12 21:06:04,-694.025
"366",2010-01-12 21:06:05,548.8
"367",2010-01-12 21:06:06,-1082.25
"368",2010-01-12 21:06:07,-1192.475
"369",2010-01-12 21:06:08,-734.575
"370",2010-01-12 21:06:09,441.05
"371",2010-01-12 21:06:10,-659.75
"372",2010-01-12 21:06:11,369.1
"373",2010-01-12 21:06:12,-20.05
"374",2010-01-12 21:06:13,-2067.825
"375",2010-01-12 21:06:14,-2051.9
"376",2010-01-12 21:06:15,509.45
"377",2010-01-12 21:06:16,1815.4
"378",2010-01-12 21:06:17,-2269.475
"379",2010-01-12 21:06:18,-497.25
"380",2010-01-12 21:06:19,43.9
"381",2010-01-12 21:06:20,-662.55
"382",2010-01-12 21:06:21,-1327.95
"383",2010-01-12 21:06:22,-494.625
"384",2010-01-12 21:06:23,919.4
"385",2010-01-12 21:06:24,67.05
"386",2010-01-12 21:06:25,-1323.65
"387",2010-01-12 21:06:26,-2054.575
"388",2010-01-12 21:06:27,-674.125
"389",2010-01-12 21:06:28,2089.175
"390",2010-01-12 21:06:29,-1051.7
"391",2010-01-12 21:06:30,-2759.675
"392",2010-01-12 21:06:31,371.75
"393",2010-01-12 21:06:32,1003.6
"394",2010-01-12 21:06:33,-841.675
"395",2010-01-12 21:06:34,-1683.95
"396",2010-01-12 21:06:35,418.425
"397",2010-01-12 21:06:36,-636.25
"398",2010-01-12 21:06:37,-994.2
"399",2010-01-12 21:06:38,-237.975
"400",2010-01-12 21:06:39,910.65
"401",2010-01-12 21:06:40,-935.95
"402",2010-01-12 21:06:41,-2998.9
"403",2010-01-12 21:06:42,15.2
"404",2010-01-12 21:06:43,1264.8
"405",2010-01-12 21:06:44,541.125
"406",2010-01-12 21:06:45,-2831.375
"407",2010-01-12 21:06:46,-1557.25
"408",2010-01-12 21:06:47,2985.925
"409",2010-01-12 21:06:48,-1113.95
"410",2010-01-12 21:06:49,-3099.125
"411",2010-01-12 21:06:50,177.95
"412",2010-01-12 21:06:51,126.025
"413",2010-01-12 21:06:52,-360.2
"414",2010-01-12 21:06:53,124.7
"415",2010-01-12 21:06:54,-1069.225
"416",2010-01-12 21:06:55,-169.625
"417",2010-01-12 21:06:56,-911.85
"418",2010-01-12 21:06:57,-2681.7
"419",2010-01-12 21:06:58,2271.175
"420",2010-01-12 21:06:59,1667.925
"421",2010-01-12 21:07:00,-4666
"422",2010-01-12 21:07:01,-874.4
"423",2010-01-12 21:07:02,2346
"424",2010-01-12 21:07:03,-95.25
"425",2010-01-12 21:07:04,-3443.3
"426",2010-01-12 21:07:05,423.775
"427",2010-01-12 21:07:06,761.5
"428",2010-01-12 21:07:07,-1199.7
"429",2010-01-12 21:07:08,-915.175
"430",2010-01-12 21:07:09,434.475
"431",2010-01-12 21:07:10,-522.225
"432",2010-01-12 21:07:11,-1775.025
"433",2010-01-12 21:07:12,-17.4
"434",2010-01-12 21:07:13,287.55
"435",2010-01-12 21:07:14,-1200.575
"436",2010-01-12 21:07:15,-480.475
"437",2010-01-12 21:07:16,405.925
"438",2010-01-12 21:07:17,-1481.35
"439",2010-01-12 21:07:18,-683.625
"440",2010-01-12 21:07:19,-3.7
"441",2010-01-12 21:07:20,-271.15
"442",2010-01-12 21:07:21,-374.4
