"","DateTime","G.HDC.00.BHZ.M"
"312",2010-01-12 21:05:11,1365.95
"313",2010-01-12 21:05:12,1251.2
"314",2010-01-12 21:05:13,2699.9
"315",2010-01-12 21:05:14,1953.1
"316",2010-01-12 21:05:15,1589.15
"317",2010-01-12 21:05:16,1344.6
"318",2010-01-12 21:05:17,2056.65
"319",2010-01-12 21:05:18,-420.05
"320",2010-01-12 21:05:19,1263.15
"321",2010-01-12 21:05:20,4133.55
"322",2010-01-12 21:05:21,2522.8
"323",2010-01-12 21:05:22,925.8
"324",2010-01-12 21:05:23,704.65
"325",2010-01-12 21:05:24,930
"326",2010-01-12 21:05:25,1118.5
"327",2010-01-12 21:05:26,2918
"328",2010-01-12 21:05:27,2706.3
"329",2010-01-12 21:05:28,1399.5
"330",2010-01-12 21:05:29,1866.2
"331",2010-01-12 21:05:30,612.15
"332",2010-01-12 21:05:31,-172.5
"333",2010-01-12 21:05:32,2319.3
"334",2010-01-12 21:05:33,2349.3
"335",2010-01-12 21:05:34,3077.5
"336",2010-01-12 21:05:35,2952.05
"337",2010-01-12 21:05:36,56.9
"338",2010-01-12 21:05:37,280.65
"339",2010-01-12 21:05:38,-107.3
"340",2010-01-12 21:05:39,2429.55
"341",2010-01-12 21:05:40,4834.25
"342",2010-01-12 21:05:41,1669.3
"343",2010-01-12 21:05:42,728.45
"344",2010-01-12 21:05:43,173.35
"345",2010-01-12 21:05:44,831.15
"346",2010-01-12 21:05:45,1820.9
"347",2010-01-12 21:05:46,1519.95
"348",2010-01-12 21:05:47,2533.1
"349",2010-01-12 21:05:48,3121.9
"350",2010-01-12 21:05:49,2327.35
"351",2010-01-12 21:05:50,-836.3
"352",2010-01-12 21:05:51,600.75
"353",2010-01-12 21:05:52,3294.05
"354",2010-01-12 21:05:53,2204.75
"355",2010-01-12 21:05:54,2718.4
"356",2010-01-12 21:05:55,166.2
"357",2010-01-12 21:05:56,104.15
"358",2010-01-12 21:05:57,3230.2
"359",2010-01-12 21:05:58,1039.9
"360",2010-01-12 21:05:59,3156.45
"361",2010-01-12 21:06:00,1986.85
"362",2010-01-12 21:06:01,453.95
"363",2010-01-12 21:06:02,1553.5
"364",2010-01-12 21:06:03,939.05
"365",2010-01-12 21:06:04,1428.75
"366",2010-01-12 21:06:05,2563
"367",2010-01-12 21:06:06,2540.7
"368",2010-01-12 21:06:07,1856.1
"369",2010-01-12 21:06:08,-760.05
"370",2010-01-12 21:06:09,1621.1
"371",2010-01-12 21:06:10,2437.55
"372",2010-01-12 21:06:11,2132.6
"373",2010-01-12 21:06:12,2496
"374",2010-01-12 21:06:13,114.65
"375",2010-01-12 21:06:14,544.9
"376",2010-01-12 21:06:15,3741.2
"377",2010-01-12 21:06:16,1729.45
"378",2010-01-12 21:06:17,1160.6
"379",2010-01-12 21:06:18,1484.55
"380",2010-01-12 21:06:19,1220.3
"381",2010-01-12 21:06:20,1035.15
"382",2010-01-12 21:06:21,1933.6
"383",2010-01-12 21:06:22,1482.6
"384",2010-01-12 21:06:23,2888.05
"385",2010-01-12 21:06:24,2583.9
"386",2010-01-12 21:06:25,-811.8
"387",2010-01-12 21:06:26,744.9
"388",2010-01-12 21:06:27,2121.85
"389",2010-01-12 21:06:28,4740.2
"390",2010-01-12 21:06:29,1267.05
"391",2010-01-12 21:06:30,-345.7
"392",2010-01-12 21:06:31,1243.15
"393",2010-01-12 21:06:32,2992.45
"394",2010-01-12 21:06:33,60.55
"395",2010-01-12 21:06:34,2273.85
"396",2010-01-12 21:06:35,2820.15
"397",2010-01-12 21:06:36,1178.8
"398",2010-01-12 21:06:37,1052.4
"399",2010-01-12 21:06:38,1390.7
"400",2010-01-12 21:06:39,3039.6
"401",2010-01-12 21:06:40,1077.95
"402",2010-01-12 21:06:41,-78.05
"403",2010-01-12 21:06:42,2575.55
"404",2010-01-12 21:06:43,3659.25
"405",2010-01-12 21:06:44,956.35
"406",2010-01-12 21:06:45,1363.5
"407",2010-01-12 21:06:46,1287.7
"408",2010-01-12 21:06:47,354.2
"409",2010-01-12 21:06:48,3228.6
"410",2010-01-12 21:06:49,2406.4
"411",2010-01-12 21:06:50,1412.45
"412",2010-01-12 21:06:51,897.8
"413",2010-01-12 21:06:52,1227.5
"414",2010-01-12 21:06:53,1722.55
"415",2010-01-12 21:06:54,1231.4
"416",2010-01-12 21:06:55,1678.45
"417",2010-01-12 21:06:56,2486.05
"418",2010-01-12 21:06:57,2818.7
"419",2010-01-12 21:06:58,875.15
"420",2010-01-12 21:06:59,-524.55
"421",2010-01-12 21:07:00,2548.9
"422",2010-01-12 21:07:01,1468.9
"423",2010-01-12 21:07:02,3150.65
"424",2010-01-12 21:07:03,946.2
"425",2010-01-12 21:07:04,1221.75
"426",2010-01-12 21:07:05,1328.05
"427",2010-01-12 21:07:06,1525.9
"428",2010-01-12 21:07:07,2555.8
"429",2010-01-12 21:07:08,2380.25
"430",2010-01-12 21:07:09,1417.05
"431",2010-01-12 21:07:10,64.55
"432",2010-01-12 21:07:11,1139.8
"433",2010-01-12 21:07:12,2245.35
"434",2010-01-12 21:07:13,4650.7
"435",2010-01-12 21:07:14,923.2
"436",2010-01-12 21:07:15,40.25
"437",2010-01-12 21:07:16,598.35
"438",2010-01-12 21:07:17,2158.5
"439",2010-01-12 21:07:18,1976.25
"440",2010-01-12 21:07:19,2301.15
"441",2010-01-12 21:07:20,3400.6
"442",2010-01-12 21:07:21,411.4
"443",2010-01-12 21:07:22,196.5
"444",2010-01-12 21:07:23,1290.6
"445",2010-01-12 21:07:24,1010.6
"446",2010-01-12 21:07:25,2567.85
"447",2010-01-12 21:07:26,3644.95
"448",2010-01-12 21:07:27,3097.45
"449",2010-01-12 21:07:28,-1332.05
"450",2010-01-12 21:07:29,-258.8
"451",2010-01-12 21:07:30,1034.45
"452",2010-01-12 21:07:31,3648.25
"453",2010-01-12 21:07:32,4749.5
"454",2010-01-12 21:07:33,277.5
"455",2010-01-12 21:07:34,338.7
"456",2010-01-12 21:07:35,24.45
"457",2010-01-12 21:07:36,1769.55
"458",2010-01-12 21:07:37,1615.15
"459",2010-01-12 21:07:38,2548.95
"460",2010-01-12 21:07:39,3120.35
"461",2010-01-12 21:07:40,1896.8
"462",2010-01-12 21:07:41,12.4
"463",2010-01-12 21:07:42,573.9
"464",2010-01-12 21:07:43,1725.6
"465",2010-01-12 21:07:44,2990
"466",2010-01-12 21:07:45,1536
"467",2010-01-12 21:07:46,1000.9
"468",2010-01-12 21:07:47,2396.4
"469",2010-01-12 21:07:48,688.9
"470",2010-01-12 21:07:49,2209.05
"471",2010-01-12 21:07:50,1445.75
"472",2010-01-12 21:07:51,1169.8
"473",2010-01-12 21:07:52,2178.5
"474",2010-01-12 21:07:53,2038.8
"475",2010-01-12 21:07:54,286.7
"476",2010-01-12 21:07:55,1917.75
"477",2010-01-12 21:07:56,2377.8
"478",2010-01-12 21:07:57,1293.8
"479",2010-01-12 21:07:58,401.8
"480",2010-01-12 21:07:59,2478.4
"481",2010-01-12 21:08:00,2647.85
"482",2010-01-12 21:08:01,968
"483",2010-01-12 21:08:02,1436.65
"484",2010-01-12 21:08:03,924.95
"485",2010-01-12 21:08:04,2210.95
"486",2010-01-12 21:08:05,2481.1
"487",2010-01-12 21:08:06,768.65
"488",2010-01-12 21:08:07,15.55
"489",2010-01-12 21:08:08,3785.95
"490",2010-01-12 21:08:09,1408.05
"491",2010-01-12 21:08:10,1632.15
"492",2010-01-12 21:08:11,1939.35
"493",2010-01-12 21:08:12,740.4
"494",2010-01-12 21:08:13,1110.05
"495",2010-01-12 21:08:14,1218.95
"496",2010-01-12 21:08:15,3237.15
"497",2010-01-12 21:08:16,1359.1
"498",2010-01-12 21:08:17,1440.3
"499",2010-01-12 21:08:18,1780.45
"500",2010-01-12 21:08:19,121.55
"501",2010-01-12 21:08:20,2182.2
"502",2010-01-12 21:08:21,3126.85
"503",2010-01-12 21:08:22,1204.45
"504",2010-01-12 21:08:23,1705.9
"505",2010-01-12 21:08:24,606.45
"506",2010-01-12 21:08:25,1628.05
"507",2010-01-12 21:08:26,165.85
"508",2010-01-12 21:08:27,2533.25
"509",2010-01-12 21:08:28,3697.8
"510",2010-01-12 21:08:29,1440.35
"511",2010-01-12 21:08:30,1009.75
"512",2010-01-12 21:08:31,97.7
"513",2010-01-12 21:08:32,2157.25
"514",2010-01-12 21:08:33,3106.6
"515",2010-01-12 21:08:34,1167.1
"516",2010-01-12 21:08:35,1107.15
"517",2010-01-12 21:08:36,2604.75
"518",2010-01-12 21:08:37,1633.4
"519",2010-01-12 21:08:38,608.9
"520",2010-01-12 21:08:39,1114.9
"521",2010-01-12 21:08:40,1714
"522",2010-01-12 21:08:41,2772.2
"523",2010-01-12 21:08:42,2608.2
"524",2010-01-12 21:08:43,1482.2
"525",2010-01-12 21:08:44,593.6
"526",2010-01-12 21:08:45,-211.3
"527",2010-01-12 21:08:46,3141.45
"528",2010-01-12 21:08:47,2730.95
"529",2010-01-12 21:08:48,830.5
"530",2010-01-12 21:08:49,1844.7
"531",2010-01-12 21:08:50,2727.5
"532",2010-01-12 21:08:51,1277.45
"533",2010-01-12 21:08:52,1298.7
"534",2010-01-12 21:08:53,-370.1
"535",2010-01-12 21:08:54,2439.8
"536",2010-01-12 21:08:55,2658.8
"537",2010-01-12 21:08:56,1839.4
"538",2010-01-12 21:08:57,2479.35
"539",2010-01-12 21:08:58,988.9
"540",2010-01-12 21:08:59,-280.9
"541",2010-01-12 21:09:00,2702.9
"542",2010-01-12 21:09:01,2408.55
"543",2010-01-12 21:09:02,600.4
"544",2010-01-12 21:09:03,2233.95
"545",2010-01-12 21:09:04,1133.35
"546",2010-01-12 21:09:05,3846.1
"547",2010-01-12 21:09:06,1186.75
"548",2010-01-12 21:09:07,7.6
"549",2010-01-12 21:09:08,2568.3
"550",2010-01-12 21:09:09,380.35
"551",2010-01-12 21:09:10,1839.85
"552",2010-01-12 21:09:11,3181.85
"553",2010-01-12 21:09:12,1713.3
"554",2010-01-12 21:09:13,135.15
"555",2010-01-12 21:09:14,-400.1
"556",2010-01-12 21:09:15,3990.05
"557",2010-01-12 21:09:16,3377.35
"558",2010-01-12 21:09:17,706.05
"559",2010-01-12 21:09:18,401.5
"560",2010-01-12 21:09:19,1087.25
"561",2010-01-12 21:09:20,3075.2
"562",2010-01-12 21:09:21,1380.25
"563",2010-01-12 21:09:22,308.45
"564",2010-01-12 21:09:23,2149.55
"565",2010-01-12 21:09:24,3739.65
"566",2010-01-12 21:09:25,166.1
"567",2010-01-12 21:09:26,394.3
"568",2010-01-12 21:09:27,1780.25
"569",2010-01-12 21:09:28,2896.35
"570",2010-01-12 21:09:29,2052.5
"571",2010-01-12 21:09:30,1485.95
"572",2010-01-12 21:09:31,1520.8
"573",2010-01-12 21:09:32,875.9
"574",2010-01-12 21:09:33,1350.7
"575",2010-01-12 21:09:34,1703.45
"576",2010-01-12 21:09:35,2723.55
"577",2010-01-12 21:09:36,827.6
"578",2010-01-12 21:09:37,1259.8
"579",2010-01-12 21:09:38,920.5
"580",2010-01-12 21:09:39,1776.75
"581",2010-01-12 21:09:40,2448.4
"582",2010-01-12 21:09:41,2110.3
"583",2010-01-12 21:09:42,-55.25
"584",2010-01-12 21:09:43,2141.5
"585",2010-01-12 21:09:44,2381.15
"586",2010-01-12 21:09:45,1000.3
"587",2010-01-12 21:09:46,1647.95
"588",2010-01-12 21:09:47,3649.6
"589",2010-01-12 21:09:48,2126.9
"590",2010-01-12 21:09:49,-921.75
"591",2010-01-12 21:09:50,1275.45
"592",2010-01-12 21:09:51,2581.9
"593",2010-01-12 21:09:52,1018.75
"594",2010-01-12 21:09:53,2231.45
"595",2010-01-12 21:09:54,3626.2
"596",2010-01-12 21:09:55,842.95
"597",2010-01-12 21:09:56,113.3
"598",2010-01-12 21:09:57,2168.7
"599",2010-01-12 21:09:58,1109.3
"600",2010-01-12 21:09:59,267.6
"601",2010-01-12 21:10:00,3320.2
"602",2010-01-12 21:10:01,2672.25
"603",2010-01-12 21:10:02,1027.15
"604",2010-01-12 21:10:03,691.8
"605",2010-01-12 21:10:04,1036.15
"606",2010-01-12 21:10:05,2171.45
"607",2010-01-12 21:10:06,2892.95
"608",2010-01-12 21:10:07,1439.05
"609",2010-01-12 21:10:08,1011.9
"610",2010-01-12 21:10:09,774.85
"611",2010-01-12 21:10:10,1771.95
"612",2010-01-12 21:10:11,2188.2
"613",2010-01-12 21:10:12,1547.55
"614",2010-01-12 21:10:13,1608.1
"615",2010-01-12 21:10:14,1956.85
"616",2010-01-12 21:10:15,1265.25
"617",2010-01-12 21:10:16,1238.6
"618",2010-01-12 21:10:17,1000.9
"619",2010-01-12 21:10:18,1380.5
"620",2010-01-12 21:10:19,2561.4
"621",2010-01-12 21:10:20,2761.3
"622",2010-01-12 21:10:21,1779.6
"623",2010-01-12 21:10:22,940.9
"624",2010-01-12 21:10:23,1806.9
"625",2010-01-12 21:10:24,-538.85
"626",2010-01-12 21:10:25,1636.2
"627",2010-01-12 21:10:26,4274.75
"628",2010-01-12 21:10:27,2015.4
"629",2010-01-12 21:10:28,208.35
"630",2010-01-12 21:10:29,2403.6
"631",2010-01-12 21:10:30,301.85
"632",2010-01-12 21:10:31,1690.6
"633",2010-01-12 21:10:32,2092.15
"634",2010-01-12 21:10:33,923.25
