"","DateTime","IU.SDV.00.BHZ.M"
"367",2010-01-12 21:06:06,-298696.05
"368",2010-01-12 21:06:07,-298758.7
"369",2010-01-12 21:06:08,-298932.75
"370",2010-01-12 21:06:09,-299027.7
"371",2010-01-12 21:06:10,-298984.45
"372",2010-01-12 21:06:11,-299107.6
"373",2010-01-12 21:06:12,-299361.3
"374",2010-01-12 21:06:13,-299380.2
"375",2010-01-12 21:06:14,-299351.1
"376",2010-01-12 21:06:15,-299338.05
"377",2010-01-12 21:06:16,-299518.45
"378",2010-01-12 21:06:17,-299731.75
"379",2010-01-12 21:06:18,-299737.75
"380",2010-01-12 21:06:19,-299637.35
"381",2010-01-12 21:06:20,-299798.85
"382",2010-01-12 21:06:21,-299889.4
"383",2010-01-12 21:06:22,-299925.45
"384",2010-01-12 21:06:23,-299986.75
"385",2010-01-12 21:06:24,-300214.1
"386",2010-01-12 21:06:25,-300120.75
"387",2010-01-12 21:06:26,-300067.65
"388",2010-01-12 21:06:27,-300209.65
"389",2010-01-12 21:06:28,-300433.85
"390",2010-01-12 21:06:29,-300378.15
"391",2010-01-12 21:06:30,-300201.7
"392",2010-01-12 21:06:31,-300281.35
"393",2010-01-12 21:06:32,-300601
"394",2010-01-12 21:06:33,-300613.25
"395",2010-01-12 21:06:34,-300421.2
"396",2010-01-12 21:06:35,-300493.15
"397",2010-01-12 21:06:36,-300723.85
"398",2010-01-12 21:06:37,-300653.15
"399",2010-01-12 21:06:38,-300620.55
"400",2010-01-12 21:06:39,-300517.4
"401",2010-01-12 21:06:40,-300671.85
"402",2010-01-12 21:06:41,-300820.3
"403",2010-01-12 21:06:42,-300752.05
"404",2010-01-12 21:06:43,-300742.4
"405",2010-01-12 21:06:44,-300739.85
"406",2010-01-12 21:06:45,-300663.35
"407",2010-01-12 21:06:46,-300614.65
"408",2010-01-12 21:06:47,-300809.9
"409",2010-01-12 21:06:48,-300890.3
"410",2010-01-12 21:06:49,-300767.55
"411",2010-01-12 21:06:50,-300616.85
"412",2010-01-12 21:06:51,-300650.1
"413",2010-01-12 21:06:52,-300770.9
"414",2010-01-12 21:06:53,-300733.6
"415",2010-01-12 21:06:54,-300663.45
"416",2010-01-12 21:06:55,-300575.7
"417",2010-01-12 21:06:56,-300648.1
"418",2010-01-12 21:06:57,-300698.5
"419",2010-01-12 21:06:58,-300576.05
"420",2010-01-12 21:06:59,-300554.15
"421",2010-01-12 21:07:00,-300530.2
"422",2010-01-12 21:07:01,-300358.75
"423",2010-01-12 21:07:02,-300408.75
"424",2010-01-12 21:07:03,-300473.7
"425",2010-01-12 21:07:04,-300379.35
"426",2010-01-12 21:07:05,-300326.9
"427",2010-01-12 21:07:06,-300267.95
"428",2010-01-12 21:07:07,-300061.45
"429",2010-01-12 21:07:08,-300148.95
"430",2010-01-12 21:07:09,-300217.8
"431",2010-01-12 21:07:10,-299991.65
"432",2010-01-12 21:07:11,-299889.6
"433",2010-01-12 21:07:12,-299933.65
"434",2010-01-12 21:07:13,-299852.45
"435",2010-01-12 21:07:14,-299770.9
"436",2010-01-12 21:07:15,-299672.25
"437",2010-01-12 21:07:16,-299645.55
"438",2010-01-12 21:07:17,-299655.45
"439",2010-01-12 21:07:18,-299676.65
"440",2010-01-12 21:07:19,-299490.95
"441",2010-01-12 21:07:20,-299396.35
"442",2010-01-12 21:07:21,-299431.3
"443",2010-01-12 21:07:22,-299421.45
"444",2010-01-12 21:07:23,-299300.2
"445",2010-01-12 21:07:24,-299205.55
"446",2010-01-12 21:07:25,-299321.25
"447",2010-01-12 21:07:26,-299270.4
"448",2010-01-12 21:07:27,-299177.1
"449",2010-01-12 21:07:28,-299001.1
"450",2010-01-12 21:07:29,-299027.8
"451",2010-01-12 21:07:30,-299103
"452",2010-01-12 21:07:31,-298969.5
"453",2010-01-12 21:07:32,-298864.55
"454",2010-01-12 21:07:33,-298907.25
"455",2010-01-12 21:07:34,-298827
"456",2010-01-12 21:07:35,-298718.1
"457",2010-01-12 21:07:36,-298722.7
"458",2010-01-12 21:07:37,-298757.1
"459",2010-01-12 21:07:38,-298655.45
"460",2010-01-12 21:07:39,-298585.25
"461",2010-01-12 21:07:40,-298542.25
"462",2010-01-12 21:07:41,-298500.25
"463",2010-01-12 21:07:42,-298568.35
"464",2010-01-12 21:07:43,-298524.05
"465",2010-01-12 21:07:44,-298363.8
"466",2010-01-12 21:07:45,-298211.8
"467",2010-01-12 21:07:46,-298294.95
"468",2010-01-12 21:07:47,-298446.75
"469",2010-01-12 21:07:48,-298342.2
"470",2010-01-12 21:07:49,-298205.35
"471",2010-01-12 21:07:50,-298142.2
"472",2010-01-12 21:07:51,-298206.45
"473",2010-01-12 21:07:52,-298147.6
"474",2010-01-12 21:07:53,-298023.45
"475",2010-01-12 21:07:54,-298054.25
"476",2010-01-12 21:07:55,-298040.2
"477",2010-01-12 21:07:56,-298012.2
"478",2010-01-12 21:07:57,-298035.3
"479",2010-01-12 21:07:58,-297924.45
"480",2010-01-12 21:07:59,-297898.1
"481",2010-01-12 21:08:00,-297810.45
"482",2010-01-12 21:08:01,-297826.9
"483",2010-01-12 21:08:02,-297883.55
"484",2010-01-12 21:08:03,-297773.7
"485",2010-01-12 21:08:04,-297635.45
"486",2010-01-12 21:08:05,-297661.2
"487",2010-01-12 21:08:06,-297789.8
"488",2010-01-12 21:08:07,-297574.25
"489",2010-01-12 21:08:08,-297499.4
"490",2010-01-12 21:08:09,-297593.15
"491",2010-01-12 21:08:10,-297546.65
"492",2010-01-12 21:08:11,-297430.4
"493",2010-01-12 21:08:12,-297433.25
"494",2010-01-12 21:08:13,-297406.6
"495",2010-01-12 21:08:14,-297349.55
"496",2010-01-12 21:08:15,-297333.75
"497",2010-01-12 21:08:16,-297369.55
"498",2010-01-12 21:08:17,-297290.6
"499",2010-01-12 21:08:18,-297233.65
"500",2010-01-12 21:08:19,-297137.65
"501",2010-01-12 21:08:20,-297150.3
"502",2010-01-12 21:08:21,-297189.6
"503",2010-01-12 21:08:22,-297218.3
"504",2010-01-12 21:08:23,-297138.45
"505",2010-01-12 21:08:24,-297061.65
"506",2010-01-12 21:08:25,-297008.4
"507",2010-01-12 21:08:26,-297014.45
"508",2010-01-12 21:08:27,-297064.45
"509",2010-01-12 21:08:28,-297031.5
"510",2010-01-12 21:08:29,-296884.4
"511",2010-01-12 21:08:30,-296881.95
"512",2010-01-12 21:08:31,-296956
"513",2010-01-12 21:08:32,-297033.6
"514",2010-01-12 21:08:33,-296914.1
"515",2010-01-12 21:08:34,-296908.8
"516",2010-01-12 21:08:35,-297000.6
"517",2010-01-12 21:08:36,-296834.05
"518",2010-01-12 21:08:37,-296746.2
"519",2010-01-12 21:08:38,-296847.2
"520",2010-01-12 21:08:39,-296933.6
"521",2010-01-12 21:08:40,-297004.45
"522",2010-01-12 21:08:41,-296839.3
"523",2010-01-12 21:08:42,-296668.4
"524",2010-01-12 21:08:43,-296767.05
"525",2010-01-12 21:08:44,-296836.75
"526",2010-01-12 21:08:45,-296891.15
"527",2010-01-12 21:08:46,-296864.15
"528",2010-01-12 21:08:47,-296662.6
"529",2010-01-12 21:08:48,-296746.65
"530",2010-01-12 21:08:49,-296775.45
"531",2010-01-12 21:08:50,-296693.95
"532",2010-01-12 21:08:51,-296722.4
"533",2010-01-12 21:08:52,-296866.2
"534",2010-01-12 21:08:53,-296740.4
"535",2010-01-12 21:08:54,-296692.35
"536",2010-01-12 21:08:55,-296719.1
"537",2010-01-12 21:08:56,-296721.4
"538",2010-01-12 21:08:57,-296785.4
"539",2010-01-12 21:08:58,-296828.35
"540",2010-01-12 21:08:59,-296735.65
"541",2010-01-12 21:09:00,-296657.55
"542",2010-01-12 21:09:01,-296674.95
"543",2010-01-12 21:09:02,-296741.2
"544",2010-01-12 21:09:03,-296780.65
"545",2010-01-12 21:09:04,-296786.45
"546",2010-01-12 21:09:05,-296676.9
"547",2010-01-12 21:09:06,-296770.15
"548",2010-01-12 21:09:07,-296874.6
"549",2010-01-12 21:09:08,-296836.2
"550",2010-01-12 21:09:09,-296649.4
"551",2010-01-12 21:09:10,-296704.4
"552",2010-01-12 21:09:11,-296850.6
"553",2010-01-12 21:09:12,-296949.5
"554",2010-01-12 21:09:13,-296814.75
"555",2010-01-12 21:09:14,-296849.45
"556",2010-01-12 21:09:15,-296877.7
"557",2010-01-12 21:09:16,-296747.7
"558",2010-01-12 21:09:17,-296786.65
"559",2010-01-12 21:09:18,-296876.4
"560",2010-01-12 21:09:19,-296973.2
"561",2010-01-12 21:09:20,-296865.65
"562",2010-01-12 21:09:21,-296894.25
"563",2010-01-12 21:09:22,-296808.55
"564",2010-01-12 21:09:23,-296677.85
"565",2010-01-12 21:09:24,-296774.7
"566",2010-01-12 21:09:25,-296995.4
"567",2010-01-12 21:09:26,-296925.55
"568",2010-01-12 21:09:27,-296797.85
"569",2010-01-12 21:09:28,-296818.7
"570",2010-01-12 21:09:29,-296852.5
"571",2010-01-12 21:09:30,-296785.5
"572",2010-01-12 21:09:31,-296829.2
"573",2010-01-12 21:09:32,-296924
"574",2010-01-12 21:09:33,-296802
"575",2010-01-12 21:09:34,-296783.7
"576",2010-01-12 21:09:35,-296814.4
"577",2010-01-12 21:09:36,-296880.1
"578",2010-01-12 21:09:37,-296876.85
"579",2010-01-12 21:09:38,-296921.1
"580",2010-01-12 21:09:39,-296895.05
"581",2010-01-12 21:09:40,-296785.95
"582",2010-01-12 21:09:41,-296753.75
"583",2010-01-12 21:09:42,-296873.8
"584",2010-01-12 21:09:43,-296965.7
"585",2010-01-12 21:09:44,-296830.75
"586",2010-01-12 21:09:45,-296762.65
"587",2010-01-12 21:09:46,-296863
"588",2010-01-12 21:09:47,-296938.95
"589",2010-01-12 21:09:48,-296845.9
"590",2010-01-12 21:09:49,-296789.5
"591",2010-01-12 21:09:50,-296760.8
"592",2010-01-12 21:09:51,-296806.25
"593",2010-01-12 21:09:52,-297009.7
"594",2010-01-12 21:09:53,-296902.35
"595",2010-01-12 21:09:54,-296702.75
"596",2010-01-12 21:09:55,-296758.7
"597",2010-01-12 21:09:56,-296895.35
"598",2010-01-12 21:09:57,-296969.15
"599",2010-01-12 21:09:58,-296819.35
