"","DateTime","CU.GRTK..BHZ.M"
"310",2010-01-12 21:05:09,749.775
"311",2010-01-12 21:05:10,994.15
"312",2010-01-12 21:05:11,1821.175
"313",2010-01-12 21:05:12,1112.85
"314",2010-01-12 21:05:13,-1715.825
"315",2010-01-12 21:05:14,336.15
"316",2010-01-12 21:05:15,-549.25
"317",2010-01-12 21:05:16,2980.65
"318",2010-01-12 21:05:17,769.575
"319",2010-01-12 21:05:18,788.775
"320",2010-01-12 21:05:19,-1581.8
"321",2010-01-12 21:05:20,-1455.225
"322",2010-01-12 21:05:21,2121.175
"323",2010-01-12 21:05:22,602.45
"324",2010-01-12 21:05:23,2106.125
"325",2010-01-12 21:05:24,2052.825
"326",2010-01-12 21:05:25,-3494.5
"327",2010-01-12 21:05:26,-2092.8
"328",2010-01-12 21:05:27,5437.725
"329",2010-01-12 21:05:28,1424.275
"330",2010-01-12 21:05:29,86.525
"331",2010-01-12 21:05:30,-3043.95
"332",2010-01-12 21:05:31,-1608.775
"333",2010-01-12 21:05:32,5789.175
"334",2010-01-12 21:05:33,2135.95
"335",2010-01-12 21:05:34,-3516.55
"336",2010-01-12 21:05:35,-1310.925
"337",2010-01-12 21:05:36,-2284
"338",2010-01-12 21:05:37,5528.225
"339",2010-01-12 21:05:38,3753.825
"340",2010-01-12 21:05:39,-3393.8
"341",2010-01-12 21:05:40,-1778.075
"342",2010-01-12 21:05:41,712.65
"343",2010-01-12 21:05:42,2904.7
"344",2010-01-12 21:05:43,468.025
"345",2010-01-12 21:05:44,-818.65
"346",2010-01-12 21:05:45,-2382.2
"347",2010-01-12 21:05:46,1259.4
"348",2010-01-12 21:05:47,4263.925
"349",2010-01-12 21:05:48,-1397.325
"350",2010-01-12 21:05:49,-3400.225
"351",2010-01-12 21:05:50,139.125
"352",2010-01-12 21:05:51,5390.675
"353",2010-01-12 21:05:52,-319.5
"354",2010-01-12 21:05:53,-4304.8
"355",2010-01-12 21:05:54,5225.525
"356",2010-01-12 21:05:55,-1975.05
"357",2010-01-12 21:05:56,-348.55
"358",2010-01-12 21:05:57,2054.325
"359",2010-01-12 21:05:58,-1158.725
"360",2010-01-12 21:05:59,-2052.575
"361",2010-01-12 21:06:00,2565.9
"362",2010-01-12 21:06:01,3282.75
"363",2010-01-12 21:06:02,-1848.95
"364",2010-01-12 21:06:03,-851.6
"365",2010-01-12 21:06:04,-315.55
"366",2010-01-12 21:06:05,4035.75
"367",2010-01-12 21:06:06,-1151.675
"368",2010-01-12 21:06:07,894.975
"369",2010-01-12 21:06:08,-2941.625
"370",2010-01-12 21:06:09,300.075
"371",2010-01-12 21:06:10,3373.55
"372",2010-01-12 21:06:11,2163.275
"373",2010-01-12 21:06:12,-1775.825
"374",2010-01-12 21:06:13,812.275
"375",2010-01-12 21:06:14,549.875
"376",2010-01-12 21:06:15,410.925
"377",2010-01-12 21:06:16,45.45
"378",2010-01-12 21:06:17,-1331.8
"379",2010-01-12 21:06:18,3912.575
"380",2010-01-12 21:06:19,-1728.425
"381",2010-01-12 21:06:20,444.6
"382",2010-01-12 21:06:21,4272.525
"383",2010-01-12 21:06:22,-2647.4
"384",2010-01-12 21:06:23,-964.025
"385",2010-01-12 21:06:24,1324.05
"386",2010-01-12 21:06:25,4596.85
"387",2010-01-12 21:06:26,198.65
"388",2010-01-12 21:06:27,-2109.4
"389",2010-01-12 21:06:28,-414.5
"390",2010-01-12 21:06:29,-301.575
"391",2010-01-12 21:06:30,3323.775
"392",2010-01-12 21:06:31,2958.075
"393",2010-01-12 21:06:32,-2015.55
"394",2010-01-12 21:06:33,-1338.8
"395",2010-01-12 21:06:34,3364.55
"396",2010-01-12 21:06:35,270.925
"397",2010-01-12 21:06:36,1796.6
"398",2010-01-12 21:06:37,-1537.3
"399",2010-01-12 21:06:38,1056
"400",2010-01-12 21:06:39,623.9
"401",2010-01-12 21:06:40,932.025
"402",2010-01-12 21:06:41,1272.55
"403",2010-01-12 21:06:42,724.275
"404",2010-01-12 21:06:43,-2085.225
"405",2010-01-12 21:06:44,4225.325
"406",2010-01-12 21:06:45,-1623.35
"407",2010-01-12 21:06:46,715.925
"408",2010-01-12 21:06:47,479.3
"409",2010-01-12 21:06:48,858.475
"410",2010-01-12 21:06:49,2285.05
"411",2010-01-12 21:06:50,-1390.45
"412",2010-01-12 21:06:51,-262.425
"413",2010-01-12 21:06:52,1538.35
"414",2010-01-12 21:06:53,1352.825
"415",2010-01-12 21:06:54,1085.7
"416",2010-01-12 21:06:55,1334.125
"417",2010-01-12 21:06:56,-3891.825
"418",2010-01-12 21:06:57,2798.5
"419",2010-01-12 21:06:58,4652.725
"420",2010-01-12 21:06:59,-5546.65
"421",2010-01-12 21:07:00,2868.825
"422",2010-01-12 21:07:01,2107.6
"423",2010-01-12 21:07:02,-417.225
"424",2010-01-12 21:07:03,-292.075
"425",2010-01-12 21:07:04,2350.125
"426",2010-01-12 21:07:05,-1926.525
"427",2010-01-12 21:07:06,1527.375
"428",2010-01-12 21:07:07,2549.95
"429",2010-01-12 21:07:08,-2208.075
"430",2010-01-12 21:07:09,628.2
"431",2010-01-12 21:07:10,2032.275
