"","DateTime","CU.MTDJ..BHZ.M"
"405",2010-01-12 21:06:44,4771.975
"406",2010-01-12 21:06:45,1937.65
"407",2010-01-12 21:06:46,645.625
"408",2010-01-12 21:06:47,1844
"409",2010-01-12 21:06:48,2916.725
"410",2010-01-12 21:06:49,1380.3
"411",2010-01-12 21:06:50,2008.775
"412",2010-01-12 21:06:51,2161.75
"413",2010-01-12 21:06:52,1425
"414",2010-01-12 21:06:53,1647.375
"415",2010-01-12 21:06:54,2048.975
"416",2010-01-12 21:06:55,2101.125
"417",2010-01-12 21:06:56,3187.45
"418",2010-01-12 21:06:57,779.225
"419",2010-01-12 21:06:58,2017.575
"420",2010-01-12 21:06:59,584.5
"421",2010-01-12 21:07:00,2712.15
"422",2010-01-12 21:07:01,2783.875
"423",2010-01-12 21:07:02,428.525
"424",2010-01-12 21:07:03,2270.45
"425",2010-01-12 21:07:04,4118.975
"426",2010-01-12 21:07:05,449.775
"427",2010-01-12 21:07:06,1172.425
"428",2010-01-12 21:07:07,-707.2
"429",2010-01-12 21:07:08,6870.825
"430",2010-01-12 21:07:09,-49.45
"431",2010-01-12 21:07:10,1102.725
"432",2010-01-12 21:07:11,5164.7
"433",2010-01-12 21:07:12,-2028.95
"434",2010-01-12 21:07:13,1416.725
"435",2010-01-12 21:07:14,5459.425
"436",2010-01-12 21:07:15,1082.875
"437",2010-01-12 21:07:16,-1225.6
"438",2010-01-12 21:07:17,4623.05
"439",2010-01-12 21:07:18,2170.525
"440",2010-01-12 21:07:19,1795.225
"441",2010-01-12 21:07:20,964.425
"442",2010-01-12 21:07:21,-75.45
"443",2010-01-12 21:07:22,4334.375
"444",2010-01-12 21:07:23,4319.225
"445",2010-01-12 21:07:24,-2233.1
"446",2010-01-12 21:07:25,1767.225
"447",2010-01-12 21:07:26,6669.725
"448",2010-01-12 21:07:27,-1295.65
"449",2010-01-12 21:07:28,630.175
"450",2010-01-12 21:07:29,2883.225
"451",2010-01-12 21:07:30,2193.75
"452",2010-01-12 21:07:31,2844.875
"453",2010-01-12 21:07:32,-332.275
"454",2010-01-12 21:07:33,4474
"455",2010-01-12 21:07:34,421.95
"456",2010-01-12 21:07:35,2588.625
"457",2010-01-12 21:07:36,22.35
"458",2010-01-12 21:07:37,2334.35
"459",2010-01-12 21:07:38,4553.25
"460",2010-01-12 21:07:39,867.55
"461",2010-01-12 21:07:40,-727.35
"462",2010-01-12 21:07:41,3938.6
"463",2010-01-12 21:07:42,2835.625
"464",2010-01-12 21:07:43,2435.15
"465",2010-01-12 21:07:44,-2174.75
"466",2010-01-12 21:07:45,3465.875
"467",2010-01-12 21:07:46,5782.95
"468",2010-01-12 21:07:47,-911.625
"469",2010-01-12 21:07:48,786.225
"470",2010-01-12 21:07:49,344.5
"471",2010-01-12 21:07:50,6388.775
"472",2010-01-12 21:07:51,2369.8
"473",2010-01-12 21:07:52,-4135.625
"474",2010-01-12 21:07:53,4265.8
"475",2010-01-12 21:07:54,6553.625
"476",2010-01-12 21:07:55,-1705.325
"477",2010-01-12 21:07:56,302.075
"478",2010-01-12 21:07:57,2649.85
"479",2010-01-12 21:07:58,5851.125
"480",2010-01-12 21:07:59,-1390.725
"481",2010-01-12 21:08:00,-583.75
"482",2010-01-12 21:08:01,5968.05
"483",2010-01-12 21:08:02,2088.85
"484",2010-01-12 21:08:03,1262.675
"485",2010-01-12 21:08:04,-351.375
"486",2010-01-12 21:08:05,2440.225
"487",2010-01-12 21:08:06,3859.8
"488",2010-01-12 21:08:07,763.925
"489",2010-01-12 21:08:08,1943.925
"490",2010-01-12 21:08:09,2127.75
"491",2010-01-12 21:08:10,2394.025
"492",2010-01-12 21:08:11,916.275
"493",2010-01-12 21:08:12,1057.775
"494",2010-01-12 21:08:13,4229.725
"495",2010-01-12 21:08:14,-258.875
"496",2010-01-12 21:08:15,2967.25
"497",2010-01-12 21:08:16,3076.4
"498",2010-01-12 21:08:17,366.725
"499",2010-01-12 21:08:18,428.3
"500",2010-01-12 21:08:19,5779.1
"501",2010-01-12 21:08:20,-1140.325
"502",2010-01-12 21:08:21,356.9
"503",2010-01-12 21:08:22,6159.55
"504",2010-01-12 21:08:23,1539.175
"505",2010-01-12 21:08:24,-2225.55
"506",2010-01-12 21:08:25,5206.775
"507",2010-01-12 21:08:26,2512.475
"508",2010-01-12 21:08:27,-88.15
"509",2010-01-12 21:08:28,3324.55
"510",2010-01-12 21:08:29,0.875
"511",2010-01-12 21:08:30,2429.725
"512",2010-01-12 21:08:31,3990.7
"513",2010-01-12 21:08:32,1896.25
"514",2010-01-12 21:08:33,-1989.925
"515",2010-01-12 21:08:34,3546.375
"516",2010-01-12 21:08:35,4720.175
"517",2010-01-12 21:08:36,-305.875
"518",2010-01-12 21:08:37,-675.675
"519",2010-01-12 21:08:38,7212.825
"520",2010-01-12 21:08:39,-1136.025
"521",2010-01-12 21:08:40,1672.675
"522",2010-01-12 21:08:41,1414.025
"523",2010-01-12 21:08:42,4275.6
"524",2010-01-12 21:08:43,1849.85
"525",2010-01-12 21:08:44,704.15
"526",2010-01-12 21:08:45,2394.9
"527",2010-01-12 21:08:46,328.225
"528",2010-01-12 21:08:47,1213.275
"529",2010-01-12 21:08:48,4698.35
"530",2010-01-12 21:08:49,1670.125
"531",2010-01-12 21:08:50,-194.9
"532",2010-01-12 21:08:51,3198.9
"533",2010-01-12 21:08:52,3026.25
"534",2010-01-12 21:08:53,696.325
"535",2010-01-12 21:08:54,-78.35
"536",2010-01-12 21:08:55,3477.775
"537",2010-01-12 21:08:56,3239.425
"538",2010-01-12 21:08:57,1590.475
"539",2010-01-12 21:08:58,638
"540",2010-01-12 21:08:59,818.225
"541",2010-01-12 21:09:00,4140.475
"542",2010-01-12 21:09:01,3719.55
"543",2010-01-12 21:09:02,-3342.875
"544",2010-01-12 21:09:03,4262.55
"545",2010-01-12 21:09:04,4093.725
"546",2010-01-12 21:09:05,1297.825
"547",2010-01-12 21:09:06,-2100.95
"548",2010-01-12 21:09:07,2829.325
"549",2010-01-12 21:09:08,6700.55
"550",2010-01-12 21:09:09,-755.625
"551",2010-01-12 21:09:10,122.7
"552",2010-01-12 21:09:11,1108.625
"553",2010-01-12 21:09:12,6707.125
"554",2010-01-12 21:09:13,1146.975
"555",2010-01-12 21:09:14,-2239.35
"556",2010-01-12 21:09:15,2323.05
"557",2010-01-12 21:09:16,6252.45
"558",2010-01-12 21:09:17,297.275
"559",2010-01-12 21:09:18,-223.25
"560",2010-01-12 21:09:19,1582.675
"561",2010-01-12 21:09:20,4120.95
"562",2010-01-12 21:09:21,2941.25
"563",2010-01-12 21:09:22,-1565.6
"564",2010-01-12 21:09:23,2957.15
"565",2010-01-12 21:09:24,3382.875
"566",2010-01-12 21:09:25,625.25
"567",2010-01-12 21:09:26,2520.7
"568",2010-01-12 21:09:27,1021.05
"569",2010-01-12 21:09:28,1372.9
"570",2010-01-12 21:09:29,4929.775
"571",2010-01-12 21:09:30,1162.9
"572",2010-01-12 21:09:31,-2901.025
"573",2010-01-12 21:09:32,5570.075
"574",2010-01-12 21:09:33,3446.275
"575",2010-01-12 21:09:34,-340.8
"576",2010-01-12 21:09:35,1073.05
"577",2010-01-12 21:09:36,5088.7
"578",2010-01-12 21:09:37,-1081.925
"579",2010-01-12 21:09:38,2199.3
"580",2010-01-12 21:09:39,3871.15
"581",2010-01-12 21:09:40,174.8
"582",2010-01-12 21:09:41,1869.775
"583",2010-01-12 21:09:42,1998.2
"584",2010-01-12 21:09:43,2919.075
"585",2010-01-12 21:09:44,1136.725
"586",2010-01-12 21:09:45,2991.1
"587",2010-01-12 21:09:46,559.85
"588",2010-01-12 21:09:47,1039.1
"589",2010-01-12 21:09:48,2200.25
"590",2010-01-12 21:09:49,4252.975
"591",2010-01-12 21:09:50,-684.725
"592",2010-01-12 21:09:51,2756.125
"593",2010-01-12 21:09:52,1837.125
"594",2010-01-12 21:09:53,2778.125
"595",2010-01-12 21:09:54,1548.075
"596",2010-01-12 21:09:55,1312.225
"597",2010-01-12 21:09:56,-73.375
"598",2010-01-12 21:09:57,5048.475
"599",2010-01-12 21:09:58,5967.175
"600",2010-01-12 21:09:59,-8699.675
"601",2010-01-12 21:10:00,7004.7
"602",2010-01-12 21:10:01,6682.85
"603",2010-01-12 21:10:02,-2221.675
"604",2010-01-12 21:10:03,-2814.6
"605",2010-01-12 21:10:04,5677.325
"606",2010-01-12 21:10:05,7213.375
"607",2010-01-12 21:10:06,-4678.9
"608",2010-01-12 21:10:07,1529.55
"609",2010-01-12 21:10:08,5524.025
"610",2010-01-12 21:10:09,1970.875
"611",2010-01-12 21:10:10,141.175
"612",2010-01-12 21:10:11,113.55
"613",2010-01-12 21:10:12,6443.125
"614",2010-01-12 21:10:13,-2555.25
"615",2010-01-12 21:10:14,4842.1
"616",2010-01-12 21:10:15,2219.15
"617",2010-01-12 21:10:16,106.55
"618",2010-01-12 21:10:17,1911.15
"619",2010-01-12 21:10:18,2742.625
"620",2010-01-12 21:10:19,1183.975
"621",2010-01-12 21:10:20,1307.375
"622",2010-01-12 21:10:21,3359.65
"623",2010-01-12 21:10:22,2346.15
"624",2010-01-12 21:10:23,-498.725
"625",2010-01-12 21:10:24,3982.8
"626",2010-01-12 21:10:25,1298.975
"627",2010-01-12 21:10:26,512.3
"628",2010-01-12 21:10:27,3433.65
"629",2010-01-12 21:10:28,1572.7
"630",2010-01-12 21:10:29,2297.125
"631",2010-01-12 21:10:30,2628.45
"632",2010-01-12 21:10:31,211.825
"633",2010-01-12 21:10:32,927.925
"634",2010-01-12 21:10:33,4620
