"","DateTime","PR.AOPR..BHZ.M"
"541",2010-01-12 21:09:00,-393.85
"542",2010-01-12 21:09:01,-353.75
"543",2010-01-12 21:09:02,-191
"544",2010-01-12 21:09:03,-871.8
"545",2010-01-12 21:09:04,-848.9
"546",2010-01-12 21:09:05,-402
"547",2010-01-12 21:09:06,-475.85
"548",2010-01-12 21:09:07,-540.1
"549",2010-01-12 21:09:08,-849.35
"550",2010-01-12 21:09:09,-379.3
"551",2010-01-12 21:09:10,-446.1
"552",2010-01-12 21:09:11,-304.05
"553",2010-01-12 21:09:12,-779.5
"554",2010-01-12 21:09:13,-243.55
"555",2010-01-12 21:09:14,-620.1
"556",2010-01-12 21:09:15,-619.15
"557",2010-01-12 21:09:16,-651.55
"558",2010-01-12 21:09:17,-515.7
"559",2010-01-12 21:09:18,-703.45
"560",2010-01-12 21:09:19,-894.65
"561",2010-01-12 21:09:20,-527.45
"562",2010-01-12 21:09:21,-194.5
"563",2010-01-12 21:09:22,-859.9
"564",2010-01-12 21:09:23,-637
"565",2010-01-12 21:09:24,-264.9
"566",2010-01-12 21:09:25,-178.15
"567",2010-01-12 21:09:26,-357.95
"568",2010-01-12 21:09:27,-441.35
"569",2010-01-12 21:09:28,-60.1
"570",2010-01-12 21:09:29,-296.05
"571",2010-01-12 21:09:30,-574.15
"572",2010-01-12 21:09:31,-596.8
"573",2010-01-12 21:09:32,-651
"574",2010-01-12 21:09:33,-811.2
"575",2010-01-12 21:09:34,-382
"576",2010-01-12 21:09:35,-326.05
"577",2010-01-12 21:09:36,-661.3
"578",2010-01-12 21:09:37,-622.25
"579",2010-01-12 21:09:38,-84.8
"580",2010-01-12 21:09:39,17.1
"581",2010-01-12 21:09:40,-487.52380952381
"582",2010-01-12 21:09:41,-649.1
"583",2010-01-12 21:09:42,-809.7
"584",2010-01-12 21:09:43,-49
"585",2010-01-12 21:09:44,-299.6
"586",2010-01-12 21:09:45,-1114.55
"587",2010-01-12 21:09:46,-1032.95
"588",2010-01-12 21:09:47,-156.55
"589",2010-01-12 21:09:48,-317.1
"590",2010-01-12 21:09:49,-766.5
"591",2010-01-12 21:09:50,-1008.4
"592",2010-01-12 21:09:51,-129.7
"593",2010-01-12 21:09:52,-57.2
"594",2010-01-12 21:09:53,-328.85
"595",2010-01-12 21:09:54,-601.35
"596",2010-01-12 21:09:55,-776.75
"597",2010-01-12 21:09:56,-382.05
"598",2010-01-12 21:09:57,-49.35
"599",2010-01-12 21:09:58,-474.6
"600",2010-01-12 21:09:59,-1086.45
"601",2010-01-12 21:10:00,-1071.4
"602",2010-01-12 21:10:01,-822.35
"603",2010-01-12 21:10:02,-320.2
"604",2010-01-12 21:10:03,-909.15
"605",2010-01-12 21:10:04,-1102.75
"606",2010-01-12 21:10:05,-551.95
"607",2010-01-12 21:10:06,-226.7
"608",2010-01-12 21:10:07,-520.75
"609",2010-01-12 21:10:08,-492.9
"610",2010-01-12 21:10:09,-265.4
"611",2010-01-12 21:10:10,-148.65
"612",2010-01-12 21:10:11,-514.55
"613",2010-01-12 21:10:12,-489.95
"614",2010-01-12 21:10:13,-279.25
"615",2010-01-12 21:10:14,-605.65
"616",2010-01-12 21:10:15,-580.25
"617",2010-01-12 21:10:16,-422.75
"618",2010-01-12 21:10:17,-725.75
"619",2010-01-12 21:10:18,-898.2
"620",2010-01-12 21:10:19,-536.9
"621",2010-01-12 21:10:20,-783.4
"622",2010-01-12 21:10:21,-1062.5
"623",2010-01-12 21:10:22,-242.05
"624",2010-01-12 21:10:23,-227.5
"625",2010-01-12 21:10:24,-857.8
"626",2010-01-12 21:10:25,-462.85
"627",2010-01-12 21:10:26,-626.4
"628",2010-01-12 21:10:27,-536.75
"629",2010-01-12 21:10:28,-19.45
"630",2010-01-12 21:10:29,-1044.9
"631",2010-01-12 21:10:30,-609.35
"632",2010-01-12 21:10:31,-110.2
"633",2010-01-12 21:10:32,-364.1
"634",2010-01-12 21:10:33,-780.2
"635",2010-01-12 21:10:34,-701.05
"636",2010-01-12 21:10:35,-241.85
"637",2010-01-12 21:10:36,-151.7
"638",2010-01-12 21:10:37,-570.5
"639",2010-01-12 21:10:38,-443.05
"640",2010-01-12 21:10:39,-288.15
"641",2010-01-12 21:10:40,-374.8
"642",2010-01-12 21:10:41,-760.8
"643",2010-01-12 21:10:42,-497.4
"644",2010-01-12 21:10:43,-592.1
"645",2010-01-12 21:10:44,-937.6
"646",2010-01-12 21:10:45,-680
"647",2010-01-12 21:10:46,-388.5
"648",2010-01-12 21:10:47,-835.7
"649",2010-01-12 21:10:48,-836.35
"650",2010-01-12 21:10:49,-466.75
"651",2010-01-12 21:10:50,-353.15
"652",2010-01-12 21:10:51,-189.5
"653",2010-01-12 21:10:52,-602.1
"654",2010-01-12 21:10:53,-275.95
"655",2010-01-12 21:10:54,113.25
"656",2010-01-12 21:10:55,-399
"657",2010-01-12 21:10:56,-662.1
"658",2010-01-12 21:10:57,-249.8
"659",2010-01-12 21:10:58,-277.7
"660",2010-01-12 21:10:59,-527.5
"661",2010-01-12 21:11:00,-575.55
"662",2010-01-12 21:11:01,-303.85
"663",2010-01-12 21:11:02,-743.8
"664",2010-01-12 21:11:03,-562.5
"665",2010-01-12 21:11:04,-435.3
